net,year,timestep,time,customer_col,alpha_t,pf_status,vmin_pu,vmax_pu,vuf_max,tx_p_kw,n_under,n_over
spd_s_4w,2023,1,2023-01-01T00:00:00.0,13183979_1779,0.40314139636677615,LOCALLY_SOLVED,1.002177853577278,1.0104924371641797,0.004862202374939846,0.0007488244067945747,0,0
spd_s_4w,2023,5,2023-01-01T02:00:00.0,13183979_1779,0.3779450761599747,LOCALLY_SOLVED,1.0026752760375925,1.0104619155537493,0.004556813596788007,0.0007018445112230804,0,0
spd_s_4w,2023,9,2023-01-01T04:00:00.0,13183979_1779,0.3848167843380823,LOCALLY_SOLVED,1.0025397293021634,1.0104702418991482,0.004640080671373202,0.0007146547961997705,0,0
spd_s_4w,2023,13,2023-01-01T06:00:00.0,13183979_1779,2.5,LOCALLY_SOLVED,0.9563383182557064,1.0129503709763015,0.03116821025258886,0.004748868098711979,0,0
spd_s_4w,2023,17,2023-01-01T08:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.003613394084871758,0.0005566636101033119,0,0
spd_s_4w,2023,21,2023-01-01T10:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.003613394084871758,0.0005566636101033119,0,0
spd_s_4w,2023,25,2023-01-01T12:00:00.0,13183979_1779,1.4590970493239346,LOCALLY_SOLVED,0.9802498125456873,1.0117506615036653,0.01786746255125952,0.0027400605445808772,0,0
spd_s_4w,2023,29,2023-01-01T14:00:00.0,13183979_1779,0.671138834486832,LOCALLY_SOLVED,0.9968152915243538,1.0108156453516361,0.008123629001815678,0.0012500208247171918,0,0
spd_s_4w,2023,33,2023-01-01T16:00:00.0,13183979_1779,2.5,LOCALLY_SOLVED,0.9563383182557064,1.0129503709763015,0.03116821025258886,0.004748868098711979,0,0
spd_s_4w,2023,37,2023-01-01T18:00:00.0,13183979_1779,0.5359948079756234,LOCALLY_SOLVED,0.9995360072619447,1.010652987357971,0.006475917242021897,0.0009969361859059826,0,0
spd_s_4w,2023,41,2023-01-01T20:00:00.0,13183979_1779,1.7270944191795021,LOCALLY_SOLVED,0.9743262854955751,1.0120634325166944,0.021240818798458832,0.0032526882476359414,0,0
spd_s_4w,2023,45,2023-01-01T22:00:00.0,13183979_1779,1.3216624761748528,LOCALLY_SOLVED,0.9832287149088371,1.0115892289785098,0.01614990027568697,0.0024783504914187107,0,0
spd_s_4w,2023,49,2023-01-02T00:00:00.0,13183979_1779,1.2918849602955726,LOCALLY_SOLVED,0.9838690044579971,1.0115541595089497,0.015778823902296023,0.002421750064255629,0,0
spd_s_4w,2023,53,2023-01-02T02:00:00.0,13183979_1779,0.8498037249690475,LOCALLY_SOLVED,0.9931658027522221,1.0110296591091734,0.010311920808170186,0.0015856976492035042,0,0
spd_s_4w,2023,57,2023-01-02T04:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.003613394084871758,0.0005566636101033119,0,0
spd_s_4w,2023,61,2023-01-02T06:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.003613394084871758,0.0005566636101033119,0,0
spd_s_4w,2023,65,2023-01-02T08:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.003613394084871758,0.0005566636101033119,0,0
spd_s_4w,2023,69,2023-01-02T10:00:00.0,13183979_1779,0.9185210115435885,LOCALLY_SOLVED,0.991745922266426,1.0111116603297292,0.011156700397345542,0.0017151387579343016,0,0
spd_s_4w,2023,73,2023-01-02T12:00:00.0,13183979_1779,0.5680628704927766,LOCALLY_SOLVED,0.9988934768522687,1.0106916444940237,0.006866327420510655,0.001056926404970326,0,0
spd_s_4w,2023,77,2023-01-02T14:00:00.0,13183979_1779,0.3962696540564244,LOCALLY_SOLVED,1.0023136283011729,1.0104841153548698,0.004778893692413597,0.0007360092876024309,0,0
spd_s_4w,2023,81,2023-01-02T16:00:00.0,13183979_1779,1.8210080600930885,LOCALLY_SOLVED,0.9722137111196671,1.0121724012641304,0.022430821151438452,0.003433057633914828,0,0
spd_s_4w,2023,85,2023-01-02T18:00:00.0,13183979_1779,2.5,LOCALLY_SOLVED,0.9563383182557064,1.0129503709763015,0.03116821025258886,0.004748868098711979,0,0
spd_s_4w,2023,89,2023-01-02T20:00:00.0,13183979_1779,0.7054974436418583,LOCALLY_SOLVED,0.9961181553496729,1.0108568926146353,0.00854355926158804,0.0013144770740603328,0,0
spd_s_4w,2023,93,2023-01-02T22:00:00.0,13183979_1779,0.9208116264459498,LOCALLY_SOLVED,0.9916984350338272,1.0111143907613578,0.01118489081697041,0.0017194567612448394,0,0
spd_s_4w,2023,97,2023-01-03T00:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.003613394084871758,0.0005566636101033119,0,0
