net,case,pv_kw_each,pv1_bus,pv2_bus,pv1_load_id,pv2_load_id,load_alpha,status,vmin_pu,vmax_pu,n_under,n_over
spd_s,clustered,5.0,11983736,11983736,load_11983736,load_11983736,1.0,LOCALLY_SOLVED,1.0034113275770167,1.0111272606768398,0,0
spd_s,distributed,5.0,11983736,11278631,load_11983736,load_11278631,1.0,LOCALLY_SOLVED,1.0032153513998832,1.0105096000092555,0,0
