bus_id,bus,vmin_pu,vmax_pu
225,10956350,1.0022399331744325,1.0102320113122165
219,10628787,1.002423472851486,1.0102338922089384
32,11983736,1.00243106102331,1.0102320113122165
96,16875458,1.0024684438038158,1.0102320113122165
6,16875457,1.0024931189137567,1.0102320113122165
82,13363297,1.0024931189137567,1.0102320113122165
71,12725180,1.0025604926775955,1.0102320113122165
35,11068333,1.0026148090715221,1.0102320113122165
80,11910740,1.002640933146566,1.0102320113122165
230,11335818,1.0026933557885818,1.0102320113122165
137,9635197,1.0026938348927845,1.0102320113122165
208,13363294,1.0026938348927845,1.0102320113122165
103,13363295,1.0027009436619734,1.0102320113122165
115,13595202,1.0027009436619734,1.0102320113122165
54,9615535,1.002706153973806,1.0102320113122165
41,13485936,1.002706153973806,1.0102320113122165
252,11650515,1.002712890929303,1.0102329664710363
56,13363292,1.0027171861543067,1.0102320113122165
156,11978903,1.0027408790730783,1.0102320113122165
20,13363291,1.0027491448238706,1.0102320113122165
11,17874064,1.002803173155278,1.0102320113122165
159,13363289,1.0029110798412082,1.0102320113122165
83,9641498,1.0029110798412082,1.0102320113122165
91,11730481,1.0029213999487927,1.0102320113122165
244,13604797,1.0030015896078341,1.0102320113122165
30,13595203,1.0030030627903128,1.0102274821250004
150,10803945,1.0030436191547905,1.0102320113122165
3,10905410,1.0030727539864759,1.0102320113122165
207,12725181,1.0030981949434923,1.0102320113122165
118,12184416,1.0031375044993514,1.01045786363568
5,13357773,1.003139927287105,1.01045786363568
216,13604667,1.0031422411974051,1.0102320113122165
129,12385154,1.0031432851590003,1.01045786363568
10,12934945,1.003162812903184,1.01045786363568
62,12934838,1.003162812903184,1.01045786363568
144,12934837,1.0031687011777144,1.01045786363568
149,12934835,1.0031717084516254,1.01045786363568
97,11730483,1.0031717084516254,1.01045786363568
195,12958976,1.0031816715874362,1.01045786363568
130,13357776,1.0031816715874362,1.01045786363568
245,12308113,1.0031816715874362,1.01045786363568
175,12954261,1.0032009866801566,1.01045786363568
133,10511265,1.0032009866801566,1.01045786363568
9,10932282,1.0032127524199355,1.01045786363568
86,12953841,1.0032717681668888,1.01045786363568
42,13623118,1.003282397498568,1.0102320113122165
185,13604669,1.003282397498568,1.0102320113122165
22,13624263,1.003282397498568,1.0102320113122165
170,12952964,1.003284921849032,1.01045786363568
236,11627664,1.003284921849032,1.01045786363568
237,13357779,1.003304432489458,1.01045786363568
40,13601746,1.0033381021197414,1.0104583252389856
