year,column,mean,std,min,max
2025,11110757_1139,0.3757138883919332,0.48231615100447245,0.026000000536441803,4.7820000648498535
2025,13272298_1240,0.3178501146543584,0.20072781034692308,0.1379999965429306,3.73799991607666
2025,13729278_2052,0.18364723994201007,0.18283860824730874,0.035999998450279236,2.2799999713897705
2025,10906688_1136,0.6569452709269595,0.7696072485843732,0.0560000017285347,6.300000190734863
2025,11729244_1152,0.7933015756949051,0.703643478776551,0.029999999329447746,7.677859306335449
2025,11363293_1924,0.1421246136530179,0.12702204305469614,0.014000000432133675,2.0940001010894775
2025,11363293_1926,0.4091717311806262,0.40354668120516657,0.05000000074505806,3.809999942779541
2025,11363293_1923,0.28401089922093614,0.4735562832131871,0.0020000000949949026,4.26800012588501
2025,11363293_1925,0.6751901117008877,0.7270142031076169,0.0860000029206276,11.890000343322754
2025,11363293_1922,0.6800013686406966,0.35367432998188414,0.08956439793109894,4.402688503265381
2025,12174093_1151,0.26271532096221756,0.34059212129126587,0.019999999552965164,3.368000030517578
2025,12174093_1150,0.2430224288093377,0.26297102314398063,0.017999999225139618,2.997999906539917
2025,13309424_1910,0.1025394315231213,0.15098317158943303,0.0020000000949949026,3.0880000591278076
2025,11062192_1236,0.47734470901918835,0.5165065272050526,0.004000000189989805,5.593999862670898
2025,11993711_1932,0.15077632430592153,0.20155490120347136,0.009999999776482582,2.5280001163482666
2025,11993711_1937,0.35280712893717503,0.3314600747269023,0.0860000029206276,4.664000034332275
2025,11993711_1934,0.16304066203200773,0.32690126540245756,0.014000000432133675,7.044000148773193
2025,11993711_1935,0.6111905962380806,0.737075734630239,0.012000000104308128,10.27400016784668
2025,11993711_1936,0.34439086811617015,0.35617030682339873,0.03400000184774399,3.7679998874664307
2025,11993711_1938,0.5301805685946216,0.5942737055349638,0.0560000017285347,4.388000011444092
2025,11993711_1939,0.3875851314107688,0.3696013229992239,0.029999999329447746,3.8540000915527344
2025,11993711_1933,0.32567615009988893,0.3904392390229774,0.06599999964237213,4.355999946594238
2025,11639740_1133,0.08520839949748332,0.4581791219948895,-1.4539999961853027,3.441999912261963
2025,12198459_1132,0.3421142683475019,0.39040104768619416,0.02800000086426735,3.8940000534057617
2025,13309427_1975,0.26271532096221756,0.34059212129126587,0.019999999552965164,3.368000030517578
2025,13309427_1976,0.607388592545649,0.39543828074154236,0.05400000140070915,3.9001359939575195
2025,13309427_1979,0.9491378686029345,1.0399426305708945,0.08399999886751175,10.486000061035156
2025,13309427_1977,0.3839585594182247,0.44726861469385326,0.03799999877810478,4.622000217437744
2025,13309427_1978,0.34035954118332057,0.4337078054408033,0.014000000432133675,4.973999977111816
2025,11325267_1238,0.2653632835710031,0.2291570983568354,0.0020000000949949026,3.4159998893737793
2025,11110773_1921,0.38074344155808154,0.3179969495084336,0.03799999877810478,4.452000141143799
2025,13493036_1239,0.10293828604591918,0.10854650028197924,0.009999999776482582,1.8539999723434448
2025,11110841_1137,0.6751901117008877,0.7270142031076169,0.0860000029206276,11.890000343322754
2025,10599081_1235,0.2636007424580044,0.28310902418493944,0.03400000184774399,3.069999933242798
2025,13493034_2031,0.488952685894283,0.385399548289673,0.03400000184774399,9.222000122070312
2025,10981735_1231,0.5033357184346272,0.6547106478608508,0.014000000432133675,5.177999973297119
2025,12824568_1231,0.3945192288552075,0.4587811326856907,0.09399999678134918,6.184000015258789
2025,12174092_1234,0.5791503920598321,0.2930179368945537,0.1599999964237213,4.46999979019165
2025,13369759_1234,0.3729145617062677,0.4479108896617303,0.052000001072883606,5.888000011444092
2025,11346581_1913,0.14616879658012324,0.21920465686819615,0.014000000432133675,2.303999900817871
2025,11346581_1911,0.18004796988677368,0.22195521102197893,0.02800000086426735,3.0739998817443848
2025,11346581_1912,0.2761908615386479,0.34293494719080586,0.04800000041723251,3.871999979019165
2025,11346581_1914,0.3908949238992377,0.22993368824512259,0.13600000739097595,2.6700000762939453
2025,11621762_1930,0.45487164390065016,0.5220313731818165,0.06800000369548798,6.111999988555908
2025,11621762_1927,0.40895404350576015,0.5405928880957478,0.02199999988079071,6.409999847412109
2025,11621762_1928,0.24930285217557271,0.3040626000932391,0.02199999988079071,4.868000030517578
2025,11621762_1929,0.8721719884363611,0.8437286990494341,0.01600000075995922,10.838000297546387
2025,11621762_1931,0.25133269817130344,0.2783735008668566,0.0560000017285347,2.9059998989105225
2025,11062191_1138,-0.09163222049477796,0.4471729900295166,-1.600000023841858,3.053999900817871
