net,year,timestep,time,customer_col,alpha_t,pf_status,vmin_pu,vmax_pu,vuf_max,v0_max,v2_max,v2_over_v1_max,tx_p_kw,i_a,i_b,i_c,i_max_phase,i_mean_phase,i0_mag,i2_mag,i2_over_i1,n_under,n_over
spd_s_4w,2023,1,2023-01-01T00:00:00.0,13183979_1779,0.40314139636677615,LOCALLY_SOLVED,1.002177853577278,1.0104924371641797,0.004862202374939846,0.004436606162808599,0.004892591059164582,0.004862202374939846,0.0007488244067945747,0.00037785505732901634,0.00013876006642036333,0.00028950034786460414,0.00037785505732901634,0.0002687051572046613,0.0,0.00014426137107439855,0.5834515985272656,0,0
spd_s_4w,2023,5,2023-01-01T02:00:00.0,13183979_1779,0.3779450761599747,LOCALLY_SOLVED,1.0026752760375925,1.0104619155537493,0.004556813596788007,0.004156926540942987,0.004586382337097918,0.004556813596788007,0.0007018445112230804,0.00035417134294705717,0.00013005841698464476,0.0002713199284868454,0.00035417134294705717,0.0002518498961395158,0.0,0.00013523290660901735,0.5835672371060602,0,0
spd_s_4w,2023,9,2023-01-01T04:00:00.0,13183979_1779,0.3848167843380823,LOCALLY_SOLVED,1.0025397293021634,1.0104702418991482,0.004640080671373202,0.004233170329698898,0.00466988764965632,0.004640080671373202,0.0007146547961997705,0.0003606295987957475,0.00013243119780102447,0.0002762770354382538,0.0003606295987957475,0.00025644594401167526,0.0,0.00013769503723808007,0.5835356940454866,0,0
spd_s_4w,2023,13,2023-01-01T06:00:00.0,13183979_1779,2.5,LOCALLY_SOLVED,0.9563383182557064,1.0129503709763015,0.03116821025258886,0.029007856609396507,0.030672092856070546,0.03116821025258886,0.004748868098711979,0.002387695770493153,0.0008779045977097459,0.0018513863880662907,0.002387695770493153,0.0017056622520897297,7.228014483236696e-20,0.0009043263647598324,0.5740156098328631,0,0
spd_s_4w,2023,17,2023-01-01T08:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.003613394084871758,0.003293787272975934,0.00363949801914526,0.003613394084871758,0.0005566636101033119,0.0002809641464683679,0.00010316465649228228,0.00021515336586555337,0.0002809641464683679,0.00019976072294206786,4.517509052022935e-21,0.00010731409040285343,0.5839253074842006,0,0
spd_s_4w,2023,21,2023-01-01T10:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.003613394084871758,0.003293787272975934,0.00363949801914526,0.003613394084871758,0.0005566636101033119,0.0002809641464683679,0.00010316465649228228,0.00021515336586555337,0.0002809641464683679,0.00019976072294206786,4.517509052022935e-21,0.00010731409040285343,0.5839253074842006,0,0
spd_s_4w,2023,25,2023-01-01T12:00:00.0,13183979_1779,1.4590970493239346,LOCALLY_SOLVED,0.9802498125456873,1.0117506615036653,0.01786746255125952,0.016469252789668574,0.01779017410594566,0.01786746255125952,0.0027400605445808772,0.0013795611728323457,0.0005071293345022031,0.0010629909755886695,0.0013795611728323457,0.000983227160974406,7.228014483236696e-20,0.0005245201655637708,0.5786531712288975,0,0
spd_s_4w,2023,29,2023-01-01T14:00:00.0,13183979_1779,0.671138834486832,LOCALLY_SOLVED,0.9968152915243538,1.0108156453516361,0.008123629001815678,0.0074318626349360395,0.008153451222117351,0.008123629001815678,0.0012500208247171918,0.0006303541055665784,0.00023156060303456148,0.0004836246418352347,0.0006303541055665784,0.00044851311681212485,1.807003620809174e-20,0.0002404046652416586,0.5822249405590669,0,0
spd_s_4w,2023,33,2023-01-01T16:00:00.0,13183979_1779,2.5,LOCALLY_SOLVED,0.9563383182557064,1.0129503709763015,0.03116821025258886,0.029007856609396507,0.030672092856070546,0.03116821025258886,0.004748868098711979,0.002387695770493153,0.0008779045977097459,0.0018513863880662907,0.002387695770493153,0.0017056622520897297,7.228014483236696e-20,0.0009043263647598324,0.5740156098328631,0,0
spd_s_4w,2023,37,2023-01-01T18:00:00.0,13183979_1779,0.5359948079756234,LOCALLY_SOLVED,0.9995360072619447,1.010652987357971,0.006475917242021897,0.005916712911773979,0.00650816851435693,0.006475917242021897,0.0009969361859059826,0.0005028889311978051,0.00018470707659630408,0.0003855594116537434,0.0005028889311978051,0.00035771847314928416,3.725233397234894e-20,0.00019189555931075527,0.5828427554565961,0,0
spd_s_4w,2023,41,2023-01-01T20:00:00.0,13183979_1779,1.7270944191795021,LOCALLY_SOLVED,0.9743262854955751,1.0120634325166944,0.021240818798458832,0.01962789748301875,0.021088024426729718,0.021240818798458832,0.0032526882476359414,0.0016369504945203139,0.0006018272242711127,0.0012632688725845106,0.0016369504945203139,0.001167348863791979,0.0,0.000621748562622833,0.5774502053291929,0,0
spd_s_4w,2023,45,2023-01-01T22:00:00.0,13183979_1779,1.3216624761748528,LOCALLY_SOLVED,0.9832287149088371,1.0115892289785098,0.01614990027568697,0.014866804042454267,0.016103309976578183,0.01614990027568697,0.0024783504914187107,0.001248098759441749,0.0004587625599908943,0.0009609500761010097,0.001248098759441749,0.0008892704651778843,8.081165863435133e-20,0.0004747877050575038,0.579272421179905,0,0
spd_s_4w,2023,49,2023-01-02T00:00:00.0,13183979_1779,1.2918849602955726,LOCALLY_SOLVED,0.9838690044579971,1.0115541595089497,0.015778823902296023,0.014521117678658076,0.015738188406132662,0.015778823902296023,0.002421750064255629,0.0012196611711542446,0.00044830032814861874,0.0009388987869961798,0.0012196611711542446,0.0008689534287663476,5.110978055611247e-20,0.0004640231166961188,0.5794068005134253,0,0
