bus,va,vb,vc,vmin,vmax
225,0.9563383182557064,0.9861172939498208,1.0112156073008272,0.9563383182557064,1.0112156073008272
219,0.9575409745236843,0.986128271349195,1.0112293878535987,0.9575409745236843,1.0112293878535987
32,0.9575911423719718,0.9861172939498208,1.0112156073008272,0.9575911423719718,1.0112156073008272
96,0.9578357254833392,0.9861172939498208,1.0112156073008272,0.9578357254833392,1.0112156073008272
6,0.9579971668077261,0.9861172939498208,1.0112156073008272,0.9579971668077261,1.0112156073008272
82,0.9579971668077261,0.9861172939498208,1.0112156073008272,0.9579971668077261,1.0112156073008272
71,0.9584379827149309,0.9861172939498208,1.0112156073008272,0.9584379827149309,1.0112156073008272
35,0.9588021204678381,0.9838647953622693,1.0112156073008272,0.9588021204678381,1.0112156073008272
80,0.9589729318269646,0.9837612836600607,1.0112156073008272,0.9589729318269646,1.0112156073008272
231,0.9593155991014068,0.9839326871274148,1.0112156073008272,0.9593155991014068,1.0112156073008272
137,0.9593186034985809,0.9838647953622693,1.0112156073008272,0.9593186034985809,1.0112156073008272
208,0.9593186034985809,0.9838647953622693,1.0112156073008272,0.9593186034985809,1.0112156073008272
103,0.9593650779205557,0.9837612836600607,1.0112156073008272,0.9593650779205557,1.0112156073008272
115,0.9593650779205557,0.9833372029557559,1.0112156073008272,0.9593650779205557,1.0112156073008272
54,0.9593991260665607,0.9837944882307125,1.0112156073008272,0.9593991260665607,1.0112156073008272
41,0.9593991260665607,0.9837944882307125,1.0112156073008272,0.9593991260665607,1.0112156073008272
252,0.9594431631424662,0.9838445606248156,1.0112203801337372,0.9594431631424662,1.0112203801337372
56,0.9594712194179013,0.9838647953622693,1.0112156073008272,0.9594712194179013,1.0112156073008272
156,0.9596198246434967,0.9861172939498208,1.0112156073008272,0.9596198246434967,1.0112156073008272
20,0.9596800481615391,0.9839326871274148,1.0112156073008272,0.9596800481615391,1.0112156073008272
11,0.9600266586811171,0.9861172939498208,1.0112156073008272,0.9600266586811171,1.0112156073008272
159,0.9607382357555532,0.9841906999708571,1.0112156073008272,0.9607382357555532,1.0112156073008272
83,0.9607382357555532,0.9841906999708571,1.0112156073008272,0.9607382357555532,1.0112156073008272
91,0.9608066152901911,0.9843349124374164,1.0112156073008272,0.9608066152901911,1.0112156073008272
244,0.9613297712894189,0.9843349124374164,1.0112156073008272,0.9613297712894189,1.0112156073008272
30,0.9613403094572722,0.9842951982638511,1.0111868844315735,0.9613403094572722,1.0111868844315735
150,0.961601275178124,0.9861172939498208,1.0112156073008272,0.961601275178124,1.0112156073008272
3,0.9617958693156914,0.984693316544032,1.0112156073008272,0.9617958693156914,1.0112156073008272
207,0.9619570749513228,0.9861172939498208,1.0112156073008272,0.9619570749513228,1.0112156073008272
216,0.9622488045200434,0.984693316544032,1.0112156073008272,0.9622488045200434,1.0112156073008272
118,0.9624221182312076,0.9793195092603676,1.0127416194260777,0.9624221182312076,1.0127416194260777
5,0.9624378977205409,0.9788844573313586,1.0127416194260777,0.9624378977205409,1.0127416194260777
129,0.9624597884083319,0.9793195092603676,1.0127416194260777,0.9624597884083319,1.0127416194260777
10,0.9625869821107618,0.9788844573313586,1.0127416194260777,0.9625869821107618,1.0127416194260777
62,0.9625869821107618,0.9788844573313586,1.0127416194260777,0.9625869821107618,1.0127416194260777
144,0.9626253411314396,0.9788844573313586,1.0127416194260777,0.9626253411314396,1.0127416194260777
149,0.9626449319013858,0.9788844573313586,1.0127416194260777,0.9626449319013858,1.0127416194260777
