net,case,pv_bus,pv_kw,pv_phase,load_alpha,status,objective,vmin_pu,vmax_pu,n_under,n_over
spd_s,baseline,(none),0.0,1,1.0,LOCALLY_SOLVED,0.07427735650309432,1.0674241333184333,1.0999078495731054,0,0
spd_s,near_source,13691508,50.0,1,1.0,LOCALLY_SOLVED,0.024543262303231284,1.0741320547224706,1.0999967106931179,0,0
spd_s,mid,11278631,50.0,1,1.0,LOCALLY_SOLVED,0.02550299086709334,1.0432073516666325,1.099998891544153,0,0
spd_s,far,11983736,50.0,1,1.0,LOCALLY_SOLVED,0.025429382915531644,1.035095887055635,1.0999989763389921,0,0
