time,alpha_t,pv_pu_proxy,pv_kw_eff
2023-01-07T18:00:00.0,0.3962696540564244,1.4997597826618576e-32,1.4997597826618576e-31
2023-01-07T20:00:00.0,0.8337696937104709,0.0,0.0
2023-01-07T22:00:00.0,1.6698299340588152,0.0,0.0
2023-01-08T00:00:00.0,0.6436518652454251,0.0,0.0
2023-01-08T02:00:00.0,0.3,0.0,0.0
2023-01-08T04:00:00.0,0.3,0.0,0.0
2023-01-08T06:00:00.0,1.564463559955863,0.0,0.0
2023-01-08T08:00:00.0,0.3,0.24999999999999994,2.4999999999999996
2023-01-08T10:00:00.0,1.7751964446907436,0.7499999999999999,7.499999999999999
2023-01-08T12:00:00.0,1.74541906534044,1.0,10.0
2023-01-08T14:00:00.0,1.9492803101617011,0.7500000000000001,7.500000000000001
2023-01-08T16:00:00.0,2.5,0.24999999999999994,2.4999999999999996
2023-01-08T18:00:00.0,0.46498694063096524,1.4997597826618576e-32,1.4997597826618576e-31
2023-01-08T20:00:00.0,2.5,0.0,0.0
2023-01-08T22:00:00.0,0.8177356624518943,0.0,0.0
2023-01-09T00:00:00.0,0.3,0.0,0.0
2023-01-09T02:00:00.0,0.3,0.0,0.0
2023-01-09T04:00:00.0,0.3,0.0,0.0
2023-01-09T06:00:00.0,2.4646598570740252,0.0,0.0
2023-01-09T08:00:00.0,0.4878927141998936,0.24999999999999994,2.4999999999999996
2023-01-09T10:00:00.0,0.4077225579070106,0.7499999999999999,7.499999999999999
2023-01-09T12:00:00.0,1.3720550483239675,1.0,10.0
2023-01-09T14:00:00.0,0.3,0.7500000000000001,7.500000000000001
2023-01-09T16:00:00.0,0.5589005815445517,0.24999999999999994,2.4999999999999996
2023-01-09T18:00:00.0,0.8772906259459663,1.4997597826618576e-32,1.4997597826618576e-31
2023-01-09T20:00:00.0,0.6070026411880374,0.0,0.0
2023-01-09T22:00:00.0,1.4018325642032474,0.0,0.0
2023-01-10T00:00:00.0,1.3880891478470323,0.0,0.0
2023-01-10T02:00:00.0,0.3,0.0,0.0
2023-01-10T04:00:00.0,0.3,0.0,0.0
2023-01-10T06:00:00.0,1.9836389193167274,0.0,0.0
2023-01-10T08:00:00.0,0.3,0.24999999999999994,2.4999999999999996
2023-01-10T10:00:00.0,0.3,0.7499999999999999,7.499999999999999
2023-01-10T12:00:00.0,0.7444372143371191,1.0,10.0
2023-01-10T14:00:00.0,0.43979062042416384,0.7500000000000001,7.500000000000001
2023-01-10T16:00:00.0,2.5,0.24999999999999994,2.4999999999999996
2023-01-10T18:00:00.0,0.7444372143371191,1.4997597826618576e-32,1.4997597826618576e-31
2023-01-10T20:00:00.0,1.9286651173628901,0.0,0.0
2023-01-10T22:00:00.0,1.697316903300222,0.0,0.0
2023-01-11T00:00:00.0,1.5782069763120783,0.0,0.0
