net,year,stride,timestep,time,alpha_t,pv_bus,pv_kw_per_phase,pv_phases,status_base,vmin_base_pu,vmax_base_pu,unbal_base,p_load_base_kw,status_pv,vmin_pv_pu,vmax_pv_pu,unbal_pv,p_load_pv_kw,dvmin_pu,dvmax_pu,dunbal,dp_load_kw
spd_s,2023,4,17,2023-01-01T08:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,21,2023-01-01T10:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,57,2023-01-02T04:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,61,2023-01-02T06:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,65,2023-01-02T08:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,97,2023-01-03T00:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,105,2023-01-03T04:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,133,2023-01-03T18:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,149,2023-01-04T02:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,153,2023-01-04T04:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,157,2023-01-04T06:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,177,2023-01-04T16:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,181,2023-01-04T18:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,185,2023-01-04T20:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
spd_s,2023,4,189,2023-01-04T22:00:00.0,0.3,10956350,3.0,"1,2,3",LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0.0030894912905291513,55.5,LOCALLY_SOLVED,1.004958932717151,1.0103302253875088,0.0030210896186265695,52.5,0.0007521035902466888,-3.712522239052163e-5,-6.84016719025818e-5,-3.0
