net,year,timestep,time,customer_col,alpha_t,pf_status,vmin_pu,vmax_pu,n_under,n_over,v_unbalance,tx_p_kw
spd_s,2023,17,2023-01-01T08:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,21,2023-01-01T10:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,57,2023-01-02T04:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,61,2023-01-02T06:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,65,2023-01-02T08:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,97,2023-01-03T00:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,105,2023-01-03T04:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,133,2023-01-03T18:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,149,2023-01-04T02:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,153,2023-01-04T04:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,157,2023-01-04T06:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
spd_s,2023,177,2023-01-04T16:00:00.0,13183979_1779,0.3,LOCALLY_SOLVED,1.0042068291269044,1.0103673506098994,0,0,0.0030894912905291513,2.732828025236566e-7
