bus,distance_km,vA,vB,vC,vmin,vmax
11834427,0.0279564,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
_virtual_bus.transformer.dist_transformer_14216629_9089776_3,,232.30030575024003,232.30030575024008,232.30030575024008,232.30030575024003,232.30030575024008
10987351,0.0145704,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14499306,0.0155294,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
12491308,0.023389400000000005,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
12447746,0.0056454,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13226996,0.0365474,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
10960343,0.0477364,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
17439335,8.64e-5,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
17439334,0.0002184,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13221607,0.05480439999999999,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13221541,0.0034904000000000003,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14522911,0.0104774,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
16081970,0.0201034,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13320536,0.0429004,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
16078809,0.0198874,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13221539,0.0196174,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
_virtual_bus.transformer.dist_transformer_14216629_9089776_1,,232.30030575024003,232.30030575024008,232.30030575024008,232.30030575024003,232.30030575024008
12295316,0.05876439999999999,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13226995,0.0379074,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14522881,0.0421774,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
16078810,0.0200694,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
9461181,4.32e-5,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
_virtual_bus.transformer.dist_transformer_14216629_9089776_2,,232.30030575024003,232.30030575024008,232.30030575024008,232.30030575024003,232.30030575024008
11526642,0.04824439999999999,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
