net,year,rank,timestep,time,alpha_t,pv_pu_proxy,score,pv_bus,pv_kw_per_phase,pv_kw_eff,pv_phases,pv_action,pv_load_id,base_status,base_vmin_pu,base_vmax_pu,pv_status,pv_vmin_pu,pv_vmax_pu,stc_status,stc_vmin_pu,stc_vmax_pu,pvbus_vm_base,pvbus_vm_pv,pvbus_vm_stc,delta_pv_vmin_pu,delta_pv_vmax_pu,delta_stc_vmin_pu,delta_stc_vmax_pu,base_Ia,base_Ib,base_Ic,base_In,base_Imean,base_Imax,base_I0,base_I2,base_I2r,pv_Ia,pv_Ib,pv_Ic,pv_In,pv_Imean,pv_Imax,pv_I0,pv_I2,pv_I2r,stc_Ia,stc_Ib,stc_Ic,stc_In,stc_Imean,stc_Imax,stc_I0,stc_I2,stc_I2r
spd_s_4w,2023,1,553,2023-01-12T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
spd_s_4w,2023,2,649,2023-01-14T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
spd_s_4w,2023,3,697,2023-01-15T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
spd_s_4w,2023,4,937,2023-01-20T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
spd_s_4w,2023,5,985,2023-01-21T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
spd_s_4w,2023,6,1081,2023-01-23T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
spd_s_4w,2023,7,1369,2023-01-29T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
spd_s_4w,2023,8,1945,2023-02-10T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
spd_s_4w,2023,9,2809,2023-02-28T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
spd_s_4w,2023,10,2857,2023-03-01T12:00:00.0,0.3,1.0,3.3333222222592593,10905410,50.0,50.0,1,modified_existing_load,load_10905410,LOCALLY_SOLVED,1.0066216289049614,1.01,LOCALLY_SOLVED,1.0059606175061988,1.0374487146989129,LOCALLY_SOLVED,1.0079093577972897,1.0248221704787912,1.0071597060231356,1.006499048221814,1.0164699081974333,-0.0006610113987626232,0.027448714698912857,0.0012877288923283103,0.014822170478791197,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.0003592646432078694,0.000359636932203727,0.013519624540129236,2.0916362743507054e-29,0.06880032774913389,4.2757821595560866e-27,NaN,0.02293344258304463,0.06880032774913389,0.022933442583044632,0.022933442583044632,1.0,1.0724891243259238e-20,0.06964799713579191,6.3237925615757926e-21,NaN,0.02321599904526397,0.06964799713579191,0.02321599904526397,0.023215999045263964,0.9999999999999999
