bus_id,bus_eng,vA_pu,vB_pu,vC_pu,vmin_pu,vmax_pu,vmean_pu,phase_spread_pu,unbalance_ratio,is_under,is_over,distance_km
190,sourcebus,1.01,1.01,1.01,1.01,1.01,1.01,0.0,0.0,false,false,0.001
204,sourcebusz,1.0091348760951366,1.0094957475356208,1.0103978426946227,1.0091348760951366,1.0103978426946227,1.0096761554417935,0.001262966599486104,0.0012508630541378694,false,false,0.0
269,_virtual_bus.transformer.dist_transformer_10148922_9108515_1,1.008954231595954,1.010217424035927,1.0098568104859367,1.008954231595954,1.010217424035927,1.009676155372606,0.00126319243997286,0.0012510867303850487,false,false,
268,_virtual_bus.transformer.dist_transformer_10148922_9108515_3,1.0087634665595828,1.010217424035927,1.0094588338345158,1.0087634665595828,1.010217424035927,1.0094799081433419,0.0014539574763441365,0.0014403035311701129,false,false,
266,_virtual_bus.transformer.dist_transformer_10148922_9108515_4,1.008748164576305,1.010217424035927,1.0093963971753321,1.008748164576305,1.010217424035927,1.0094539952625212,0.0014692594596219521,0.0014554991772951999,false,false,
1,9326133,1.0089983959169806,1.0085573966467456,1.010217424035927,1.0085573966467456,1.010217424035927,1.0092577388665511,0.0016600273891813622,0.0016448002579060321,false,false,0.025668200000000002
19,17636402,1.0089983959169806,1.0085573966467456,1.010217424035927,1.0085573966467456,1.010217424035927,1.0092577388665511,0.0016600273891813622,0.0016448002579060321,false,false,0.0001322
109,14495371,1.0089983959169806,1.0085573966467456,1.010217424035927,1.0085573966467456,1.010217424035927,1.0092577388665511,0.0016600273891813622,0.0016448002579060321,false,false,0.0010682
218,9431554,1.0089983959169806,1.0085573966467456,1.010217424035927,1.0085573966467456,1.010217424035927,1.0092577388665511,0.0016600273891813622,0.0016448002579060321,false,false,8.9e-5
152,9108515,1.0089983959169806,1.0085573966467456,1.010217424035927,1.0085573966467456,1.010217424035927,1.0092577388665511,0.0016600273891813622,0.0016448002579060321,false,false,0.0
33,17636403,1.0089983959169806,1.0085573966467456,1.010217424035927,1.0085573966467456,1.010217424035927,1.0092577388665511,0.0016600273891813622,0.0016448002579060321,false,false,0.0004022
189,17636404,1.0089983959169806,1.0085573966467456,1.010217424035927,1.0085573966467456,1.010217424035927,1.0092577388665511,0.0016600273891813622,0.0016448002579060321,false,false,0.025884200000000003
267,_virtual_bus.transformer.dist_transformer_10148922_9108515_2,1.0085573966467456,1.010217424035927,1.0089983959169806,1.0085573966467456,1.010217424035927,1.0092577388665511,0.0016600273891813622,0.0016448002579060321,false,false,
168,9431552,1.0089983828370503,1.008557391040217,1.010217424035927,1.008557391040217,1.010217424035927,1.0092577326377314,0.001660032995709937,0.001644805823158155,false,false,0.000108
214,17655573,1.0089983776050782,1.0085573887976056,1.010217424035927,1.0085573887976056,1.010217424035927,1.0092577301462036,0.0016600352383213668,0.0016448080492590233,false,false,0.0001512
39,9431555,1.008998374244037,1.0085573858595047,1.010217424035927,1.0085573858595047,1.010217424035927,1.0092577280464896,0.0016600381764222405,0.0016448109638312067,false,false,8.9e-5
145,17874057,1.0089983637241364,1.0085573806234507,1.010217424035927,1.0085573806234507,1.010217424035927,1.0092577227945048,0.0016600434124762753,0.0016448161604152294,false,false,0.0001322
229,9431553,1.0089983599901,1.0085573793889437,1.010217423053083,1.0085573793889437,1.010217423053083,1.009257720810709,0.001660043664139188,0.001644816413002737,false,false,0.00013800000000000002
161,9431551,1.0089983536351417,1.0085573761845148,1.010217425275165,1.0085573761845148,1.010217425275165,1.0092577183649405,0.0016600490906502063,0.001644821793723399,false,false,0.000174
151,17855758,1.0089983487434246,1.0085573739865015,1.01021742274541,1.0085573739865015,1.01021742274541,1.0092577151584454,0.0016600487589084612,0.0016448214702503875,false,false,0.0001812
59,17655574,1.0089983384863987,1.0085573720299321,1.010217424035927,1.0085573720299321,1.010217424035927,1.0092577115174193,0.0016600520059948387,0.0016448246934858194,false,false,0.0004742
122,17855757,1.008998343137582,1.0085573711042368,1.0102174255828378,1.0085573711042368,1.0102174255828378,1.0092577132748854,0.0016600544786009586,0.0016448271405470245,false,false,0.0002172
37,17874058,1.008998291399823,1.0085573446255802,1.010217424035927,1.0085573446255802,1.010217424035927,1.00925768668711,0.0016600794103467376,0.0016448518869308303,false,false,0.0004292
162,17855760,1.0089982571038505,1.008557329966602,1.0102174202384455,1.008557329966602,1.0102174202384455,1.009257669102966,0.0016600902718435506,0.0016448626774558457,false,false,0.0005332
92,17855759,1.0089982507979423,1.008557326416609,1.01021742828922,1.008557326416609,1.01021742828922,1.009257668501257,0.0016601018726110084,0.0016448741727930112,false,false,0.0005972
101,14711419,1.0089317202101848,1.0085288147621383,1.010217424035927,1.0085288147621383,1.010217424035927,1.0092259863360835,0.001688609273788666,0.0016731726061860839,false,false,0.0011991999999999999
223,12934948,1.0088672311423574,1.008497645452212,1.0102133390712462,1.008497645452212,1.0102133390712462,1.009192738555272,0.0017156936190341199,0.0017000653626286016,false,false,0.0012162
34,13485933,1.0088733133725214,1.0084950901203764,1.010217424035927,1.0084950901203764,1.010217424035927,1.0091952758429417,0.0017223339155505446,0.0017066408818768458,false,false,0.0011062000000000001
55,12934951,1.008866500716408,1.008490243261484,1.0102215751915509,1.008490243261484,1.0102215751915509,1.009192773056481,0.001731331930066915,0.0017155611656069782,false,false,0.0012912
260,14711417,1.008813434092293,1.0084781096191042,1.010217424035927,1.0084781096191042,1.010217424035927,1.0091696559157748,0.0017393144168227348,0.0017235104193104056,false,false,0.0033092
