bus_id,bus_eng,vA_pu,vB_pu,vC_pu,vmin_pu,vmax_pu,vmean_pu,phase_spread_pu,unbalance_ratio,is_under,is_over,distance_km
225,10956350,1.0022399331787644,1.0063916701468103,1.0102320113056944,1.0022399331787644,1.0102320113056944,1.0062878715437564,0.007992078126930036,0.007942138977258375,false,false,0.046493200000000005
219,10628787,1.002423472855817,1.0063934844377662,1.0102338922024163,1.002423472855817,1.0102338922024163,1.0063502831653333,0.007810419346599318,0.007761133948343257,false,false,0.046133200000000006
32,11983736,1.002431061027641,1.0063916701468103,1.0102320113056944,1.002431061027641,1.0102320113056944,1.0063515808267152,0.007800950278053387,0.007751714635997219,false,false,0.04934920000000001
96,16875458,1.0024684438081466,1.0063916701468103,1.0102320113056944,1.0024684438081466,1.0102320113056944,1.0063640417535504,0.0077635674975478075,0.007714472273890163,false,false,0.04874320000000001
6,16875457,1.0024931189180875,1.0063916701468103,1.0102320113056944,1.0024931189180875,1.0102320113056944,1.0063722667901975,0.007738892387606944,0.007689890354679559,false,false,0.04834320000000001
82,13363297,1.0024931189180875,1.0063916701468103,1.0102320113056944,1.0024931189180875,1.0102320113056944,1.0063722667901975,0.007738892387606944,0.007689890354679559,false,false,0.04937320000000001
71,12725180,1.0025604926819258,1.0063916701468103,1.0102320113056944,1.0025604926819258,1.0102320113056944,1.0063947247114768,0.007671518623768581,0.007622773088330652,false,false,0.04475320000000001
35,11068333,1.0026148090758522,1.006039380717701,1.0102320113056944,1.0026148090758522,1.0102320113056944,1.006295400366416,0.00761720222984219,0.007569548888992822,false,false,0.04800519999999999
80,11910740,1.002640933150896,1.006023191759538,1.0102320113056944,1.002640933150896,1.0102320113056944,1.0062987120720428,0.007591078154798314,0.007543563420813416,false,false,0.048620199999999995
230,11335818,1.0026933557929116,1.0060499986545743,1.0102320113056944,1.0026933557929116,1.0102320113056944,1.0063251219177267,0.007538655512782766,0.0074912723021527605,false,false,0.0463502
137,9635197,1.0026938348971142,1.006039380717701,1.0102320113056944,1.0026938348971142,1.0102320113056944,1.0063217423068365,0.007538176408580233,0.0074908213662363415,false,false,0.04787519999999999
208,13363294,1.0026938348971142,1.006039380717701,1.0102320113056944,1.0026938348971142,1.0102320113056944,1.0063217423068365,0.007538176408580233,0.0074908213662363415,false,false,0.04667519999999999
103,13363295,1.002700943666303,1.006023191759538,1.0102320113056944,1.002700943666303,1.0102320113056944,1.0063187155771784,0.007531067639391376,0.007483779763622799,false,false,0.0476102
115,13595202,1.002700943666303,1.0059568647979513,1.0102320113056944,1.002700943666303,1.0102320113056944,1.0062966065899828,0.007531067639391376,0.0074839441871037945,false,false,0.0487302
54,9615535,1.0027061539781357,1.0060283848985683,1.0102320113056944,1.0027061539781357,1.0102320113056944,1.0063221833941327,0.007525857327558727,0.00747857639605583,false,false,0.0476022
41,13485936,1.0027061539781357,1.0060283848985683,1.0102320113056944,1.0027061539781357,1.0102320113056944,1.0063221833941327,0.007525857327558727,0.00747857639605583,false,false,0.047184199999999996
252,11650515,1.0027128909336327,1.0060362522414323,1.0102329664645144,1.0027128909336327,1.0102329664645144,1.0063273698798598,0.007520075530881742,0.0074727924092728645,false,false,0.047432199999999994
56,13363292,1.0027171861586364,1.006039380717701,1.0102320113056944,1.0027171861586364,1.0102320113056944,1.0063295260606773,0.007514825147058035,0.007467559037520404,false,false,0.046282199999999996
156,11978903,1.002740879077408,1.0063916701468103,1.0102320113056944,1.002740879077408,1.0102320113056944,1.0064548535099709,0.007491132228286457,0.007443088184394396,false,false,0.0415432
20,13363291,1.0027491448282002,1.0060499986545743,1.0102320113056944,1.0027491448282002,1.0102320113056944,1.006343718262823,0.007482866477494188,0.007435696513723273,false,false,0.0454112
