time,scenario,bus_id,V0,V1,V2,V2_over_V1
2023-01-12T12:00:00.0,baseline,1,0.032304669505869715,0.9673063849960801,0.03118147611546033,0.03223536678669467
2023-01-12T12:00:00.0,baseline,54,0.01025322392960984,0.9980963204048938,0.010126727476689343,0.010146042290368602
2023-01-12T12:00:00.0,baseline,101,0.008685569276769976,0.9957756580549408,0.00947964220909095,0.009519857341770771
2023-01-12T12:00:00.0,baseline,41,0.011102668189151694,0.9973986075035074,0.010898220133953774,0.010926644625293854
2023-01-12T12:00:00.0,baseline,65,0.030457359399517627,0.970870752700206,0.029425035744981808,0.030307881520938072
2023-01-12T12:00:00.0,baseline,168,0.028503446851731572,0.9728110187402564,0.02754971592384367,0.02831969970849963
2023-01-12T12:00:00.0,baseline,159,0.028959582507366754,0.9715583812320324,0.025024376871783726,0.02575694611377891
2023-01-12T12:00:00.0,baseline,88,0.031430674532379584,0.9669343425353559,0.02744950711089213,0.0283881809791945
2023-01-12T12:00:00.0,baseline,26,0.019415504875850063,0.984038471275316,0.017069776634884883,0.01734665577938474
2023-01-12T12:00:00.0,baseline,77,0.024164172986438495,0.9791493450741983,0.020602577730225075,0.021041302671416122
2023-01-12T12:00:00.0,baseline,24,0.027638059421896177,0.9734920052751069,0.02697474957223996,0.02770926666687617
2023-01-12T12:00:00.0,baseline,23,0.03478074884089086,0.9640732543385137,0.0336115347797464,0.034864088002118175
2023-01-12T12:00:00.0,baseline,160,0.032676650941298555,0.9666136434396405,0.031606340509301244,0.03269800785847782
2023-01-12T12:00:00.0,baseline,149,0.010672358354424566,0.9976779408979064,0.010456504135637758,0.010480841268502884
2023-01-12T12:00:00.0,baseline,59,0.00849659331147601,0.9974208540344508,0.008612140256077736,0.008634409658914424
2023-01-12T12:00:00.0,baseline,43,0.03165909507301764,0.9664543804853698,0.02766271698454421,0.028622889546686646
2023-01-12T12:00:00.0,baseline,122,0.008685475576733045,0.9958057936167922,0.009480988758595252,0.00952092146819116
2023-01-12T12:00:00.0,baseline,175,0.002923372092291973,1.0063746521084904,0.002707245740769492,0.0026900973063038176
2023-01-12T12:00:00.0,baseline,39,0.001300021574212788,1.0081395326547211,0.0012838973704847822,0.0012735314199056468
2023-01-12T12:00:00.0,baseline,143,0.0075309464109299005,0.9991285783516456,0.007335202671687501,0.007341600301123465
2023-01-12T12:00:00.0,baseline,112,0.0013004341755670022,1.008138750337936,0.0012844231151040919,0.0012740539084263383
2023-01-12T12:00:00.0,baseline,34,0.00813227313916592,0.9971181256025023,0.00880744528627455,0.008832900596358838
2023-01-12T12:00:00.0,baseline,137,0.010639952237745493,0.9938302562005652,0.010820145234923424,0.010887317192665351
2023-01-12T12:00:00.0,baseline,55,0.03462958601130597,0.9641343409493036,0.033491929615065114,0.034737824587897544
2023-01-12T12:00:00.0,baseline,17,0.029430749313931515,0.9707231698484268,0.025502416884862114,0.026271565032123606
2023-01-12T12:00:00.0,baseline,9,0.010698177145857473,0.9978023841909328,0.01057682538997304,0.010600120382102764
2023-01-12T12:00:00.0,baseline,172,0.030957554521106326,0.9678765261198766,0.027002698589878124,0.027898908446647972
2023-01-12T12:00:00.0,baseline,12,0.03106507421176974,0.9683832621779287,0.030151815443391055,0.03113624183835906
2023-01-12T12:00:00.0,baseline,20,0.014459004249754737,0.9891753594518772,0.013386661785928821,0.013533153305948353
2023-01-12T12:00:00.0,baseline,14,0.0036588403285058393,1.0047573669848675,0.0038134588114770392,0.0037954026880347054
2023-01-12T12:00:00.0,baseline,167,0.03421431720034085,0.9646058377319429,0.03319881484755706,0.03441697483981304
2023-01-12T12:00:00.0,baseline,127,0.03020459146720358,0.9702022977564122,0.029499288588531663,0.03040529656211763
2023-01-12T12:00:00.0,baseline,123,0.002960038751252687,1.0054456710899582,0.003049303297529878,0.0030327877330500277
2023-01-12T12:00:00.0,baseline,96,0.00733846286637379,0.998353233746927,0.007572047839119184,0.0075845378000134024
2023-01-12T12:00:00.0,baseline,19,0.0326767151975985,0.9665656863398937,0.03156450218217073,0.03265634465226717
2023-01-12T12:00:00.0,baseline,35,0.009161670778703836,0.9954332596052449,0.00969692342414684,0.009741409914304363
2023-01-12T12:00:00.0,baseline,131,0.017815112878599285,0.9861588455447687,0.01729518663913352,0.017537931862872867
2023-01-12T12:00:00.0,baseline,21,0.03586922796995938,0.9666186568522136,0.03454770418541046,0.03574077940717056
2023-01-12T12:00:00.0,baseline,83,0.03040297619867872,0.9694354253384593,0.026284879340830583,0.027113594834492185
2023-01-12T12:00:00.0,baseline,45,0.009345448531423486,0.9945315508916903,0.010248425273673985,0.010304776419094311
2023-01-12T12:00:00.0,baseline,139,0.005694237189771331,1.001861906185071,0.005930193655991267,0.005919172711708832
2023-01-12T12:00:00.0,baseline,85,0.018848355563650557,0.9846899645058568,0.016623777347602755,0.01688224511960473
2023-01-12T12:00:00.0,baseline,105,0.001299696824030089,1.0081398723752995,0.0012835615582196583,0.0012731978898874738
2023-01-12T12:00:00.0,baseline,3,0.0355240311808841,0.9669636972598692,0.03425596400469223,0.03542631859062029
2023-01-12T12:00:00.0,baseline,30,0.004758883901536309,1.0033843075690556,0.004534911722596076,0.004519615952120091
2023-01-12T12:00:00.0,baseline,81,0.03144721690122361,0.9673753684615897,0.027332516780825954,0.02825430300576359
2023-01-12T12:00:00.0,baseline,27,0.0012998323627828473,1.0081397108612657,0.0012836930985938217,0.0012733285721848488
2023-01-12T12:00:00.0,baseline,75,0.02875108404084265,0.971773747897613,0.024867834485295715,0.025590148467270403
