time,scenario,branch_id,I0,I1,I2,I2_over_I1
2023-01-12T12:00:00.0,baseline,1,5.112335223426109e-5,5.112335223426109e-5,5.112335223426109e-5,1.0
2023-01-12T12:00:00.0,baseline,54,0.0006090492270852458,0.0010979324967367696,0.0006802716376674415,0.6195933171568537
2023-01-12T12:00:00.0,baseline,101,5.246562268374674e-5,5.246562268374674e-5,5.246562268374674e-5,1.0
2023-01-12T12:00:00.0,baseline,41,0.0001344251554178286,0.0002205540191960123,0.0001335617631334669,0.6055739252467078
2023-01-12T12:00:00.0,baseline,65,0.0023103193998547274,0.003545536535445053,0.0022816386551505934,0.6435242261194725
2023-01-12T12:00:00.0,baseline,168,0.0003752976574092905,0.0005271798945152614,0.0003085552617253494,0.5852940617340198
2023-01-12T12:00:00.0,baseline,159,5.0994762504082674e-5,5.0994762504082674e-5,5.0994762504082674e-5,1.0
2023-01-12T12:00:00.0,baseline,88,0.00019280232913560357,0.00037375783353162085,0.0001887390737195218,0.5049769042594635
2023-01-12T12:00:00.0,baseline,26,0.00033978381565504684,0.00037578886662722924,0.0002591046783037008,0.6894953558076656
2023-01-12T12:00:00.0,baseline,77,0.0004639764766789187,0.0006780282308910834,0.00039524151251844094,0.5829278111311141
2023-01-12T12:00:00.0,baseline,24,0.000263669429908874,0.00038968215653376325,0.000262650879130104,0.6740131020275422
2023-01-12T12:00:00.0,baseline,23,5.119741617062643e-5,5.119741617062643e-5,5.119741617062643e-5,1.0
2023-01-12T12:00:00.0,baseline,160,0.000586209221506935,0.0007614207542944144,0.000576653639522183,0.7573390090431019
2023-01-12T12:00:00.0,baseline,149,5.003973327067284e-5,5.003973327067284e-5,5.003973327067284e-5,1.0
2023-01-12T12:00:00.0,baseline,59,5.281243828681378e-5,5.281243828681378e-5,5.281243828681378e-5,1.0
2023-01-12T12:00:00.0,baseline,43,5.091747331838658e-5,1.7785009775336875e-5,5.082994137051158e-5,2.8580215593133564
2023-01-12T12:00:00.0,baseline,122,0.0006090492270852458,0.0010979324967367696,0.0006802716376674415,0.6195933171568537
2023-01-12T12:00:00.0,baseline,175,5.4379614098420026e-5,5.4379614098420026e-5,5.4379614098420026e-5,1.0
2023-01-12T12:00:00.0,baseline,39,5.050069249000796e-5,5.050069249000796e-5,5.050069249000795e-5,0.9999999999999999
2023-01-12T12:00:00.0,baseline,143,5.049885172847612e-5,5.049885172847612e-5,5.049885172847612e-5,1.0
2023-01-12T12:00:00.0,baseline,112,0.00037939819298183773,0.0004771259322876926,0.00030355577336391295,0.6362173020201257
2023-01-12T12:00:00.0,baseline,34,0.00010156697735539607,0.00010156697735539607,0.00010156697735539607,1.0
2023-01-12T12:00:00.0,baseline,137,0.00013347826275052368,0.00016889998054804824,0.00013338109528446233,0.7897046219405479
2023-01-12T12:00:00.0,baseline,55,5.229997224787564e-5,5.229997224787564e-5,5.229997224787564e-5,1.0
2023-01-12T12:00:00.0,baseline,17,0.0006655532501390846,0.001014873572173107,0.00064899929382297,0.6394878254966228
2023-01-12T12:00:00.0,baseline,9,5.481741990015312e-5,5.481741990015312e-5,5.481741990015312e-5,1.0
2023-01-12T12:00:00.0,baseline,172,5.47862648436437e-5,5.47862648436437e-5,5.47862648436437e-5,1.0
2023-01-12T12:00:00.0,baseline,12,0.0001344251554178286,0.0002205540191960123,0.0001335617631334669,0.6055739252467078
2023-01-12T12:00:00.0,baseline,20,0.0003311814301302751,0.0004257219986529126,0.00026045096999677714,0.6117864964011891
2023-01-12T12:00:00.0,baseline,14,0.0006090492270852458,0.0010979324967367696,0.0006802716376674415,0.6195933171568537
2023-01-12T12:00:00.0,baseline,167,5.100251670522373e-5,5.100251670522373e-5,5.100251670522373e-5,1.0
2023-01-12T12:00:00.0,baseline,127,5.079971149813597e-5,5.079971149813597e-5,5.079971149813597e-5,1.0
2023-01-12T12:00:00.0,baseline,123,5.308035466759089e-5,5.308035466759089e-5,5.308035466759089e-5,1.0
2023-01-12T12:00:00.0,baseline,96,5.003973327067284e-5,5.003973327067284e-5,5.003973327067284e-5,1.0
2023-01-12T12:00:00.0,baseline,19,0.0005363797523303685,0.0007086160518723235,0.0005263501940739912,0.7427861571626203
2023-01-12T12:00:00.0,baseline,35,0.000263669429908874,0.00038968215653376325,0.000262650879130104,0.6740131020275422
2023-01-12T12:00:00.0,baseline,131,5.0260610050716794e-5,5.0260610050716794e-5,5.0260610050716794e-5,1.0
2023-01-12T12:00:00.0,baseline,21,5.4919614071100156e-5,5.4919614071100156e-5,5.4919614071100156e-5,1.0
2023-01-12T12:00:00.0,baseline,83,0.0006273513093224061,0.0008641912120829733,0.0006154211397340557,0.7121353829214448
2023-01-12T12:00:00.0,baseline,45,8.820089737906678e-5,0.00015256136053063874,8.771877250877264e-5,0.5749737168288832
2023-01-12T12:00:00.0,baseline,139,5.280769254786926e-5,5.280769254786926e-5,5.280769254786926e-5,1.0
2023-01-12T12:00:00.0,baseline,85,0.0004996366351988095,0.0009636600875987325,0.0004899204114080695,0.5083954578100905
2023-01-12T12:00:00.0,baseline,105,5.042737722635226e-5,5.042737722635225e-5,5.042737722635225e-5,1.0
2023-01-12T12:00:00.0,baseline,30,5.003973327067284e-5,5.003973327067284e-5,5.003973327067284e-5,1.0
2023-01-12T12:00:00.0,baseline,3,0.0007275909064266043,0.0010331526633137727,0.0006563099567243497,0.6352497361031587
2023-01-12T12:00:00.0,baseline,81,0.0006090492270852458,0.0010979324967367696,0.0006802716376674415,0.6195933171568537
