time,base_Ia,base_Ib,base_Ic,base_In,base_Imean,base_Imax,base_Imin,base_Ipmax,base_I0,base_I2,base_I2r,pv_Ia,pv_Ib,pv_Ic,pv_In,pv_Imean,pv_Imax,pv_Imin,pv_Ipmax,pv_I0,pv_I2,pv_I2r,stc_Ia,stc_Ib,stc_Ic,stc_In,stc_Imean,stc_Imax,stc_Imin,stc_Ipmax,stc_I0,stc_I2,stc_I2r
2023-01-01T08:00:00.0,8.929163199189313e-23,1076.3050078833119,1.910221566183335e-18,NaN,358.76833596110396,1076.3050078833119,8.929163199189313e-23,1076.3050078833119,358.768335961104,358.768335961104,1.0000000000000002,1.5788631926362167e-24,1076.3049908589403,3.9346763225524264e-18,NaN,358.7683302863134,1076.3049908589403,1.5788631926362167e-24,1076.3049908589403,358.7683302863134,358.76833028631336,1.0,2.906445061125525e-15,1075.6610054907653,7.215227901554437e-15,NaN,358.5536684969218,1075.6610054907653,2.906445061125525e-15,1075.6610054907653,358.5536684969218,358.5536684969217,1.0
2023-01-01T10:00:00.0,8.929163199189313e-23,1076.3050078833119,1.910221566183335e-18,NaN,358.76833596110396,1076.3050078833119,8.929163199189313e-23,1076.3050078833119,358.768335961104,358.768335961104,1.0000000000000002,3.320318750284637e-18,1076.3053820646378,1.751885778944452e-18,NaN,358.7684606882126,1076.3053820646378,1.751885778944452e-18,1076.3053820646378,358.76846068821266,358.7684606882126,1.0,2.7543592843171306e-15,1075.6767983446516,1.74961131186724e-14,NaN,358.55893278155054,1075.6767983446516,2.7543592843171306e-15,1075.6767983446516,358.55893278155054,358.5589327815505,0.9999999999999999
2023-01-01T12:00:00.0,9.129762164561299e-20,5252.829278967521,9.052048241674213e-21,NaN,1750.9430929891735,5252.829278967521,9.052048241674213e-21,5252.829278967521,1750.9430929891732,1750.9430929891732,1.0,5.664515350718923e-20,5251.376663937577,4.4536663309733705e-21,NaN,1750.4588879791925,5251.376663937577,4.4536663309733705e-21,5251.376663937577,1750.4588879791925,1750.4588879791925,1.0,7.627096492030056e-10,5249.351680099589,6.881041366129104e-10,NaN,1749.7838933670137,5249.351680099589,6.881041366129104e-10,5249.351680099589,1749.7838933668036,1749.7838933667283,1.000000000000383
2023-01-01T14:00:00.0,4.159788652126139e-19,2408.2799760559783,2.810439678742484e-20,NaN,802.7599920186594,2408.2799760559783,2.810439678742484e-20,2408.2799760559783,802.7599920186594,802.7599920186594,1.0,9.799609807770695e-25,2408.271139906777,7.144107411156634e-20,NaN,802.7570466355924,2408.271139906777,9.799609807770695e-25,2408.271139906777,802.7570466355925,802.7570466355924,1.0,4.574941333692886e-15,2407.9178854200254,7.312496241711533e-15,NaN,802.6392951400085,2407.9178854200254,4.574941333692886e-15,2407.9178854200254,802.6392951400084,802.6392951400082,0.9999999999999999
2023-01-01T16:00:00.0,1.9293653768309187e-21,9048.368343072207,3.550845157390352e-20,NaN,3016.122781024069,9048.368343072207,1.9293653768309187e-21,9048.368343072207,3016.122781024069,3016.1227810240684,1.0,6.383185921110478e-20,9047.598269249125,5.789532591097032e-20,NaN,3015.8660897497084,9047.598269249125,5.789532591097032e-20,9047.598269249125,3015.866089749709,3015.8660897497084,1.0,7.690963924769628e-8,9036.421987925441,7.671450215206275e-8,NaN,3012.140662693022,9036.421987925441,7.671450215206275e-8,9036.421987925441,3012.1406626679945,3012.1406626667213,1.0000000000252298
2023-01-02T08:00:00.0,8.929163199189313e-23,1076.3050078833119,1.910221566183335e-18,NaN,358.76833596110396,1076.3050078833119,8.929163199189313e-23,1076.3050078833119,358.768335961104,358.768335961104,1.0000000000000002,1.5788631926362167e-24,1076.3049908589403,3.9346763225524264e-18,NaN,358.7683302863134,1076.3049908589403,1.5788631926362167e-24,1076.3049908589403,358.7683302863134,358.76833028631336,1.0,2.906445061125525e-15,1075.6610054907653,7.215227901554437e-15,NaN,358.5536684969218,1075.6610054907653,2.906445061125525e-15,1075.6610054907653,358.5536684969218,358.5536684969217,1.0
2023-01-02T10:00:00.0,9.116850912903057e-19,3298.2078874713,4.465709514146345e-19,NaN,1099.4026291571001,3298.2078874713,4.465709514146345e-19,3298.2078874713,1099.4026291571001,1099.4026291571,1.0,3.8315978561281015e-20,3297.82876909598,4.0701656027579597e-19,NaN,1099.2762563653266,3297.82876909598,3.8315978561281015e-20,3297.82876909598,1099.2762563653268,1099.2762563653266,1.0,3.855155796280094e-9,3296.93942551441,3.821670833352188e-9,NaN,1098.9798085073623,3296.93942551441,3.821670833352188e-9,3296.93942551441,1098.9798085060945,1098.9798085060677,1.0000000000034763
2023-01-02T12:00:00.0,2.29207493782458e-18,2038.280243187216,9.307071135301708e-19,NaN,679.426747729072,2038.280243187216,9.307071135301708e-19,2038.280243187216,679.426747729072,679.4267477290718,0.9999999999999998,3.4510876417425733e-18,2038.271579870366,6.6574699494109135e-18,NaN,679.4238599567886,2038.271579870366,3.4510876417425733e-18,2038.271579870366,679.4238599567886,679.4238599567886,1.0000000000000002,1.0407759765929864e-14,2037.7202434102242,1.7066698458687161e-15,NaN,679.2400811367414,2037.7202434102242,1.7066698458687161e-15,2037.7202434102242,679.2400811367413,679.2400811367412,1.0
2023-01-02T14:00:00.0,9.084447329657192e-19,1421.7388207872816,7.681041871770577e-19,NaN,473.9129402624272,1421.7388207872816,7.681041871770577e-19,1421.7388207872816,473.9129402624272,473.9129402624272,0.9999999999999999,4.645531220026264e-18,1421.7386062040312,2.265453327440693e-18,NaN,473.91286873467703,1421.7386062040312,2.265453327440693e-18,1421.7386062040312,473.91286873467703,473.912868734677,1.0,3.974217362288757e-8,1420.915836941773,3.974174884475873e-8,NaN,473.638612340419,1420.915836941773,3.974174884475873e-8,1420.915836941773,473.638612300678,473.638612300676,0.99999999991609
2023-01-02T16:00:00.0,8.121089928585331e-20,6567.598226937025,3.738954579115502e-19,NaN,2189.1994089790082,6567.598226937025,8.121089928585331e-20,6567.598226937025,2189.1994089790082,2189.1994089790087,1.0000000000000004,7.776261454024093e-20,6567.101003231802,1.21543017611574e-19,NaN,2189.033667743934,6567.101003231802,7.776261454024093e-20,6567.101003231802,2189.0336677439336,2189.0336677439336,1.0,5.274994159154265e-10,6562.201110211508,5.274199823286631e-10,NaN,2187.4003700708545,6562.201110211508,5.274199823286631e-10,6562.201110211508,2187.4003700703097,2187.4003700706007,1.0000000000000016
