time,timestep,alpha_t,pv_pu,pv_kw_eff,base_Ia,base_Ib,base_Ic,base_In,base_Imean,base_Imax,pv_Ia,pv_Ib,pv_Ic,pv_In,pv_Imean,pv_Imax,stc_Ia,stc_Ib,stc_Ic,stc_In,stc_Imean,stc_Imax
2023-01-08T12:00:00.0,361,1.74541906534044,1.0,10.0,0.1585799749713785,0.1521842100444451,0.15847284234147657,NaN,0.15641234245243338,0.1585799749713785,0.1438571524410093,0.15215750439005707,0.15849272704231246,NaN,0.1515024612911263,0.15849272704231246,0.10622019657461819,0.10511456100671575,0.10444666953842766,NaN,0.1052604757065872,0.10622019657461819
2023-01-08T14:00:00.0,365,1.9492803101617011,0.7500000000000001,7.500000000000001,0.17738872901750188,0.17022650552338572,0.17725429357237643,NaN,0.174956509371088,0.17738872901750188,0.16628374426598613,0.17020383701752465,0.1772709881800504,NaN,0.1712528564878537,0.1772709881800504,0.12522701086875734,0.12435964723815901,0.12393510084644285,NaN,0.12450725298445307,0.12522701086875734
2023-01-08T16:00:00.0,369,2.5,0.24999999999999994,2.4999999999999996,0.22852877855515927,0.21927283752537602,0.2283038868552472,NaN,0.22536850097859415,0.22852877855515927,0.22477229824187986,0.2192627974524422,0.22831106885060634,NaN,0.2241153881816428,0.22831106885060634,0.17777360297912578,0.17540120075825263,0.17603477065887466,NaN,0.1764031914654177,0.17777360297912578
2023-01-08T18:00:00.0,373,0.46498694063096524,1.4997597826618576e-32,1.4997597826618576e-31,0.04183967224799957,0.040162726973466574,0.04183234028058815,NaN,0.04127824650068476,0.04183967224799957,0.04183967224799957,0.040162726973466574,0.04183234028058815,NaN,0.04127824650068476,0.04183967224799957,0.006692627610846124,0.010038572418962523,0.013389658921144432,NaN,0.01004028631698436,0.013389658921144432
2023-01-08T20:00:00.0,377,2.5,0.0,0.0,0.22852877855515927,0.21927283752537602,0.2283038868552472,NaN,0.22536850097859415,0.22852877855515927,0.22852877855515927,0.21927283752537602,0.2283038868552472,NaN,0.22536850097859415,0.22852877855515927,0.1789951692377739,0.17660008030702434,0.1773012347469545,NaN,0.17763216143058425,0.1789951692377739
2023-01-08T22:00:00.0,381,0.8177356624518943,0.0,0.0,0.07377036848271706,0.07080886254806337,0.07374747158214842,NaN,0.07277556753764296,0.07377036848271706,0.07377036848271706,0.07080886254806337,0.07374747158214842,NaN,0.07277556753764296,0.07377036848271706,0.02803777706423372,0.027990231889656193,0.02786394257071932,NaN,0.02796398384153641,0.02803777706423372
2023-01-09T00:00:00.0,385,0.3,0.0,0.0,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.004312544534102078,0.0032344224854439795,0.008626923528723891,NaN,0.005391296849423316,0.008626923528723891
2023-01-09T02:00:00.0,389,0.3,0.0,0.0,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.004312544534102078,0.0032344224854439795,0.008626923528723891,NaN,0.005391296849423316,0.008626923528723891
2023-01-09T04:00:00.0,393,0.3,0.0,0.0,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.004312544534102078,0.0032344224854439795,0.008626923528723891,NaN,0.005391296849423316,0.008626923528723891
2023-01-09T06:00:00.0,397,2.4646598570740252,0.0,0.0,0.2252322487833445,0.21611171851350913,0.22501391110126195,NaN,0.2221192927993719,0.2252322487833445,0.2252322487833445,0.21611171851350913,0.22501391110126195,NaN,0.2221192927993719,0.2252322487833445,0.17575463167580743,0.17343611072209036,0.1741094851372678,NaN,0.17443340917838854,0.17575463167580743
2023-01-09T08:00:00.0,401,0.4878927141998936,0.24999999999999994,2.4999999999999996,0.043908022144916556,0.04214799690639752,0.04389994499531754,NaN,0.04331865468221054,0.043908022144916556,0.040295546331763,0.042146241858946935,0.04390132249824654,NaN,0.042114370229652164,0.04390132249824654,0.007023477443609002,0.010534815973765346,0.014051801881090566,NaN,0.010536698432821637,0.014051801881090566
2023-01-09T10:00:00.0,405,0.4077225579070106,0.7499999999999999,7.499999999999999,0.036671838266361015,0.0352023946852965,0.03666620974638317,NaN,0.03618014756601356,0.036671838266361015,0.02588330634814806,0.035198029639543146,0.03666965767725824,NaN,0.03258366455498315,0.03666965767725824,0.010262119251648764,0.011729578516678408,0.01173411476375716,NaN,0.011241937510694777,0.01173411476375716
2023-01-09T12:00:00.0,409,1.3720550483239675,1.0,10.0,0.12429608855665981,0.11929274568552696,0.12423060686118488,NaN,0.12260648036779055,0.12429608855665981,0.10967883226571148,0.1192721770695779,0.12424618729395764,NaN,0.11773239887641568,0.12424618729395764,0.07103793822079736,0.07062382956452427,0.07040579910619064,NaN,0.07068918896383743,0.07103793822079736
2023-01-09T14:00:00.0,413,0.3,0.7500000000000001,7.500000000000001,0.02696207040136607,0.025882208397097664,0.02695903199484083,NaN,0.026601103597768187,0.02696207040136607,0.016193846680853143,0.025879014334734874,0.02696156699566797,NaN,0.023011476003751998,0.02696156699566797,1.0910704378151704e-20,0.00966371129424309,1.5457206393994398e-20,NaN,0.00322123709808103,0.00966371129424309
