time,base_Ia,base_Ib,base_Ic,base_Imean,base_Imax,base_I0,base_I2,base_I2r,pv_Ia,pv_Ib,pv_Ic,pv_Imean,pv_Imax,pv_I0,pv_I2,pv_I2r,stc_Ia,stc_Ib,stc_Ic,stc_Imean,stc_Imax,stc_I0,stc_I2,stc_I2r
2023-01-01T00:00:00.0,1.5801820044400078e-30,9.980144641837135e-6,7.524503900769431e-27,3.3267148806123786e-6,9.980144641837135e-6,3.326714880612378e-6,3.326714880612378e-6,0.9999999999999999,1.2894991966497987e-26,9.980143330183682e-6,4.315739960827845e-27,3.326714443394561e-6,9.980143330183682e-6,3.3267144433945605e-6,3.3267144433945605e-6,1.0,3.6702501217488056e-17,9.973836170916657e-6,3.6700843454175964e-17,3.3246120569966863e-6,9.973836170916657e-6,3.3246120569599852e-6,3.324612056959985e-6,0.9999999999889605
2023-01-01T00:00:00.0,1.5801820044400078e-30,9.980144641837135e-6,7.524503900769431e-27,3.3267148806123786e-6,9.980144641837135e-6,3.326714880612378e-6,3.326714880612378e-6,0.9999999999999999,1.2894991966497987e-26,9.980143330183682e-6,4.315739960827845e-27,3.326714443394561e-6,9.980143330183682e-6,3.3267144433945605e-6,3.3267144433945605e-6,1.0,3.6702501217488056e-17,9.973836170916657e-6,3.6700843454175964e-17,3.3246120569966863e-6,9.973836170916657e-6,3.3246120569599852e-6,3.324612056959985e-6,0.9999999999889605
2023-01-01T00:00:00.0,1.5801820044400078e-30,9.980144641837135e-6,7.524503900769431e-27,3.3267148806123786e-6,9.980144641837135e-6,3.326714880612378e-6,3.326714880612378e-6,0.9999999999999999,1.2894991966497987e-26,9.980143330183682e-6,4.315739960827845e-27,3.326714443394561e-6,9.980143330183682e-6,3.3267144433945605e-6,3.3267144433945605e-6,1.0,3.6702501217488056e-17,9.973836170916657e-6,3.6700843454175964e-17,3.3246120569966863e-6,9.973836170916657e-6,3.3246120569599852e-6,3.324612056959985e-6,0.9999999999889605
2023-01-01T02:00:00.0,4.0976250449864915e-31,9.356284393272405e-6,3.3932752644148297e-26,3.118761464424135e-6,9.356284393272405e-6,3.118761464424135e-6,3.118761464424135e-6,1.0,9.6042825322649e-31,9.356283567236207e-6,6.397589883391075e-28,3.1187611890787358e-6,9.356283567236207e-6,3.1187611890787358e-6,3.1187611890787353e-6,1.0000000000000002,3.2202610530519254e-17,9.350423444589936e-6,3.2201255036737407e-17,3.11680781488478e-6,9.350423444589936e-6,3.1168078148525778e-6,3.116807814852577e-6,0.9999999999896679
2023-01-01T04:00:00.0,1.9919589064845662e-30,9.526424932712876e-6,2.3866146204502186e-26,3.1754749775709588e-6,9.526424932712876e-6,3.1754749775709588e-6,3.1754749775709588e-6,1.0000000000000002,6.192682690002493e-26,9.526423987157967e-6,6.311543382120157e-26,3.1754746623859892e-6,9.526423987157967e-6,3.1754746623859892e-6,3.175474662385989e-6,1.0,3.357414189465116e-17,9.520443283010142e-6,3.3572701710801736e-17,3.1734810943590967e-6,9.520443283010142e-6,3.173481094325523e-6,3.1734810943255237e-6,0.9999999999894208
2023-01-01T06:00:00.0,1.3312621100133338e-29,6.243374156719822e-5,2.450083158599343e-28,2.0811247189066075e-5,6.243374156719822e-5,2.0811247189066075e-5,2.0811247189066072e-5,1.0,2.444115834609895e-28,6.242737499090763e-5,3.0769428835973185e-28,2.080912499696921e-5,6.242737499090763e-5,2.0809124996969213e-5,2.080912499696921e-5,1.0,5.346125688624514e-16,6.235097608955754e-5,5.333061801718044e-16,2.0783658696875152e-5,6.235097608955754e-5,2.0783658696701154e-5,2.0783658696692345e-5,1.0000000000254197
2023-01-01T08:00:00.0,6.161122607440625e-31,7.426504554394852e-6,1.318052880666501e-26,2.4755015181316175e-6,7.426504554394852e-6,2.475501518131617e-6,2.475501518131617e-6,1.0,5.279509263484056e-31,7.426504491463376e-6,3.3877287145869737e-26,2.4755014971544587e-6,7.426504491463376e-6,2.4755014971544587e-6,2.4755014971544587e-6,1.0000000000000002,9.223525330127251e-23,7.422072481338243e-6,1.2966413705128463e-22,2.474024160446081e-6,7.422072481338243e-6,2.474024160446081e-6,2.474024160446081e-6,1.0
2023-01-01T10:00:00.0,6.161122607440625e-31,7.426504554394852e-6,1.318052880666501e-26,2.4755015181316175e-6,7.426504554394852e-6,2.475501518131617e-6,2.475501518131617e-6,1.0,5.279509263484056e-31,7.426504491463376e-6,3.3877287145869737e-26,2.4755014971544587e-6,7.426504491463376e-6,2.4755014971544587e-6,2.4755014971544587e-6,1.0000000000000002,9.223525330127251e-23,7.422072481338243e-6,1.2966413705128463e-22,2.474024160446081e-6,7.422072481338243e-6,2.474024160446081e-6,2.474024160446081e-6,1.0
2023-01-01T12:00:00.0,6.299535893547296e-28,3.624452202487589e-5,6.245913286755207e-29,1.2081507341625296e-5,3.624452202487589e-5,1.2081507341625296e-5,1.2081507341625296e-5,1.0000000000000002,2.6825313191355726e-28,3.624144385345955e-5,4.811261138254589e-29,1.2080481284486515e-5,3.624144385345955e-5,1.2080481284486517e-5,1.2080481284486517e-5,1.0,8.973403026793279e-16,3.622380745414099e-5,8.925788554319779e-16,1.2074602485310304e-5,3.622380745414099e-5,1.2074602485011738e-5,1.2074602485011877e-5,1.0000000000740814
2023-01-01T14:00:00.0,2.870254169967036e-27,1.661713183478625e-5,1.9392033783323142e-28,5.53904394492875e-6,1.661713183478625e-5,5.5390439449287504e-6,5.539043944928749e-6,0.9999999999999999,1.0275868704173631e-27,1.6617083188577063e-5,5.51743823504148e-28,5.539027729525688e-6,1.6617083188577063e-5,5.539027729525688e-6,5.539027729525687e-6,1.0,5.678575614081143e-19,1.6614551489700102e-5,6.399673718094847e-19,5.538183829900437e-6,1.6614551489700102e-5,5.538183829900265e-6,5.538183829900201e-6,1.000000000000102
