17439335,0,0
9461181,0,4.8e-05
17439336,0.000137,9.6e-05
17439334,-0.00011,7.2e-05
9089776,0,9.6e-05
17439337,0.0129,-0.00501
11834427,0.0204,-0.000216
13221574,0.0347,-0.00542
11526642,0.0394,-0.00269
13226995,-0.0172,-0.00638
10952569,-0.0167,-0.00621
14499302,0.0249,-0.00319
11089750,0.0258,-0.00643
14499306,0.00209,-0.00989
14499304,0.00324,-0.0103
13226996,-0.0172,-0.00744
11056295,-0.0191,-0.00739
13221607,0.0422,-0.00641
13284933,0.0423,-0.00403
13221541,0.00323,-2.4e-05
10952551,0.00733,-0.000984
13221540,-0.00212,-0.00149
12298311,-0.00224,-0.00216
13320536,0.034,-0.00617
13320538,0.0341,-0.00588
11434169,-0.021,-0.00873
13226998,-0.0159,-0.0113
14522881,0.0344,-0.00557
14522911,0.00406,-0.00571
11056946,0.00323,-0.0108
14522892,0.00488,-0.00799
10987351,0.00712,-0.00921
14522883,0.00467,-0.006
14522889,0.00418,-0.00593
14522891,0.00214,-0.00967
13353838,0.0136,-0.00444
12491308,0.0136,-0.00199
16078809,0.0133,-0.00444
16078810,0.0133,-0.00456
12447746,-0.00417,-0.00197
14522887,-0.00418,-0.00168
17444778,0.0255,-0.00338
13221578,0.00197,7.2e-05
13221537,-0.00892,-0.00842
13353837,0.0138,-0.00437
16081970,0.0135,-0.00439
13212201,0.0307,-0.00473
13215642,0.00487,-0.00749
10983375,0.0255,-0.000816
12121550,-0.00033,-0.0139
13215643,-0.000536,-0.0134
13215639,9.62e-05,-0.00943
11022643,0.0467,-0.00809
12295316,0.0455,-0.00703
10960343,0.0314,-0.00405
10987352,-0.01,-0.00379
11754850,-0.0136,-0.00499
12004807,0.0021,-0.00118
10637594,0.0139,-0.00989
16081939,0.0134,-0.00446
13353810,0.0136,-0.00422
10952568,-0.00703,-0.00264
13221539,-0.00419,-0.00684
12219819,-0.0244,-0.0144
