bus,vA_pu,vB_pu,vC_pu,vmin_pu,vmax_pu,distance_km,under_vmin,over_vmax
10956350,1.0022399331744325,1.0063916701153621,1.0102320113122165,1.0022399331744325,1.0102320113122165,0.046493200000000005,false,false
10628787,1.002423472851486,1.0063934844063178,1.0102338922089384,1.002423472851486,1.0102338922089384,0.046133200000000006,false,false
11983736,1.00243106102331,1.0063916701153621,1.0102320113122165,1.00243106102331,1.0102320113122165,0.04934920000000001,false,false
16875458,1.0024684438038158,1.0063916701153621,1.0102320113122165,1.0024684438038158,1.0102320113122165,0.04874320000000001,false,false
16875457,1.0024931189137567,1.0063916701153621,1.0102320113122165,1.0024931189137567,1.0102320113122165,0.04834320000000001,false,false
13363297,1.0024931189137567,1.0063916701153621,1.0102320113122165,1.0024931189137567,1.0102320113122165,0.04937320000000001,false,false
12725180,1.0025604926775955,1.0063916701153621,1.0102320113122165,1.0025604926775955,1.0102320113122165,0.04475320000000001,false,false
11068333,1.0026148090715221,1.0060393806862418,1.0102320113122165,1.0026148090715221,1.0102320113122165,0.04800519999999999,false,false
11910740,1.002640933146566,1.0060231917280782,1.0102320113122165,1.002640933146566,1.0102320113122165,0.048620199999999995,false,false
11335818,1.0026933557885818,1.0060499986231155,1.0102320113122165,1.0026933557885818,1.0102320113122165,0.0463502,false,false
9635197,1.0026938348927845,1.0060393806862418,1.0102320113122165,1.0026938348927845,1.0102320113122165,0.04787519999999999,false,false
13363294,1.0026938348927845,1.0060393806862418,1.0102320113122165,1.0026938348927845,1.0102320113122165,0.04667519999999999,false,false
13363295,1.0027009436619734,1.0060231917280782,1.0102320113122165,1.0027009436619734,1.0102320113122165,0.0476102,false,false
13595202,1.0027009436619734,1.0059568647664894,1.0102320113122165,1.0027009436619734,1.0102320113122165,0.0487302,false,false
9615535,1.002706153973806,1.0060283848671088,1.0102320113122165,1.002706153973806,1.0102320113122165,0.0476022,false,false
13485936,1.002706153973806,1.0060283848671088,1.0102320113122165,1.002706153973806,1.0102320113122165,0.047184199999999996,false,false
11650515,1.002712890929303,1.006036252209973,1.0102329664710363,1.002712890929303,1.0102329664710363,0.047432199999999994,false,false
13363292,1.0027171861543067,1.0060393806862418,1.0102320113122165,1.0027171861543067,1.0102320113122165,0.046282199999999996,false,false
11978903,1.0027408790730783,1.0063916701153621,1.0102320113122165,1.0027408790730783,1.0102320113122165,0.0415432,false,false
13363291,1.0027491448238706,1.0060499986231155,1.0102320113122165,1.0027491448238706,1.0102320113122165,0.0454112,false,false
17874064,1.002803173155278,1.0063916701153621,1.0102320113122165,1.002803173155278,1.0102320113122165,0.040443200000000006,false,false
13363289,1.0029110798412082,1.006090349425944,1.0102320113122165,1.0029110798412082,1.0102320113122165,0.0421012,false,false
9641498,1.0029110798412082,1.006090349425944,1.0102320113122165,1.0029110798412082,1.0102320113122165,0.0425382,false,false
11730481,1.0029213999487927,1.0061129021305821,1.0102320113122165,1.0029213999487927,1.0102320113122165,0.0416012,false,false
13604797,1.0030015896078341,1.0061129021305821,1.0102320113122165,1.0030015896078341,1.0102320113122165,0.0402512,false,false
13595203,1.0030030627903128,1.0061066857495793,1.0102274821250004,1.0030030627903128,1.0102274821250004,0.0419212,false,false
10803945,1.0030436191547905,1.0063916701153621,1.0102320113122165,1.0030436191547905,1.0102320113122165,0.0374772,false,false
10905410,1.0030727539864759,1.006168974861296,1.0102320113122165,1.0030727539864759,1.0102320113122165,0.039121199999999995,false,false
12725181,1.0030981949434923,1.0063916701153621,1.0102320113122165,1.0030981949434923,1.0102320113122165,0.0365132,false,false
12184416,1.0031375044993514,1.0053538571739071,1.01045786363568,1.0031375044993514,1.01045786363568,0.043208199999999995,false,false
13357773,1.003139927287105,1.0052860916335806,1.01045786363568,1.003139927287105,1.01045786363568,0.0466322,false,false
13604667,1.0031422411974051,1.006168974861296,1.0102320113122165,1.0031422411974051,1.0102320113122165,0.0379512,false,false
12385154,1.0031432851590003,1.0053538571739071,1.01045786363568,1.0031432851590003,1.01045786363568,0.043151199999999994,false,false
12934945,1.003162812903184,1.0052860916335806,1.01045786363568,1.003162812903184,1.01045786363568,0.047439199999999994,false,false
12934838,1.003162812903184,1.0052860916335806,1.01045786363568,1.003162812903184,1.01045786363568,0.046019199999999996,false,false
12934837,1.0031687011777144,1.0052860916335806,1.01045786363568,1.0031687011777144,1.01045786363568,0.0452232,false,false
12934835,1.0031717084516254,1.0052860916335806,1.01045786363568,1.0031717084516254,1.01045786363568,0.044977199999999995,false,false
11730483,1.0031717084516254,1.0052546235903543,1.01045786363568,1.0031717084516254,1.01045786363568,0.04550819999999999,false,false
12958976,1.0031816715874362,1.005296033788305,1.01045786363568,1.0031816715874362,1.01045786363568,0.04416219999999999,false,false
13357776,1.0031816715874362,1.0052546097495407,1.01045786363568,1.0031816715874362,1.01045786363568,0.04486119999999999,false,false
12308113,1.0031816715874362,1.005256387676066,1.01045786363568,1.0031816715874362,1.01045786363568,0.044831199999999995,false,false
12954261,1.0032009866801566,1.0053538571739071,1.01045786363568,1.0032009866801566,1.01045786363568,0.042582199999999994,false,false
10511265,1.0032009866801566,1.0052698660445867,1.01045786363568,1.0032009866801566,1.01045786363568,0.04341219999999999,false,false
10932282,1.0032127524199355,1.0054480344594248,1.01045786363568,1.0032127524199355,1.01045786363568,0.04123419999999999,false,false
12953841,1.0032717681668888,1.0054480344594248,1.01045786363568,1.0032717681668888,1.01045786363568,0.04065219999999999,false,false
13623118,1.003282397498568,1.0062155400825985,1.0102320113122165,1.003282397498568,1.0102320113122165,0.036041199999999995,false,false
