bus,vA,vB,vC,vmin,vmax
12308114,251.60240972675422,248.45265899069224,249.3547205123906,248.45265899069224,251.60240972675422
11730840,251.61352994968584,248.45265899069224,249.3547205123906,248.45265899069224,251.61352994968584
12970285,251.6191355935989,248.45265899069224,249.3547205123906,248.45265899069224,251.6191355935989
12971246,251.62176625385925,248.45265899069224,249.3547205123906,248.45265899069224,251.62176625385925
11910740,251.38205412962864,248.45990650348233,249.3070567009683,248.45990650348233,251.38205412962864
13363295,251.39471589172237,248.45990650348233,249.3070567009683,248.45990650348233,251.39471589172237
13485936,251.39581522723844,248.4610188324064,249.3070567009683,248.4610188324064,251.39581522723844
9615535,251.39581522723844,248.4610188324064,249.3070567009683,248.4610188324064,251.39581522723844
11650515,251.39723666163636,248.4627125560991,249.30725422692765,248.4627125560991,251.39723666163636
11068333,251.37654223658103,248.4633740485829,249.3070567009683,248.4633740485829,251.37654223658103
13363292,251.39814293143695,248.4633740485829,249.3070567009683,248.4633740485829,251.39814293143695
9635197,251.39321601418948,248.4633740485829,249.3070567009683,248.4633740485829,251.39321601418948
13363294,251.39321601418948,248.4633740485829,249.3070567009683,248.4633740485829,251.39321601418948
13363291,251.40488597553883,248.46564832476426,249.3070567009683,248.46564832476426,251.40488597553883
11335818,251.39311481603204,248.46564832476426,249.3070567009683,248.46564832476426,251.39311481603204
9641498,251.4390530288944,248.47429113448422,249.3070567009683,248.47429113448422,251.4390530288944
13363289,251.4390530288944,248.47429113448422,249.3070567009683,248.47429113448422,251.4390530288944
13595203,251.45845600648622,248.47779020847554,249.30609008870906,248.47779020847554,251.45845600648622
11730481,251.4412296658897,248.47912173410887,249.3070567009683,248.47912173410887,251.4412296658897
13604797,251.4581498230392,248.47912173410887,249.3070567009683,248.47912173410887,251.4581498230392
13624263,251.51739847821182,248.48742178079294,249.3070567009683,248.48742178079294,251.51739847821182
10905410,251.47316402761018,248.49113216258863,249.3070567009683,248.49113216258863,251.47316402761018
13604667,251.48782630037087,248.49113216258863,249.3070567009683,248.49113216258863,251.48782630037087
12963305,251.6705127498194,248.49216109252083,249.3547205123906,248.49216109252083,251.6705127498194
12807645,251.64378160882245,248.49216109252083,249.3547205123906,248.49216109252083,251.64378160882245
10493341,251.66248587449715,248.49216109252083,249.3547205123906,248.49216109252083,251.66248587449715
13604669,251.51739847821182,248.49292595598735,249.3070567009683,248.49292595598735,251.51739847821182
13623118,251.51739847821182,248.50110612846274,249.3070567009683,248.50110612846274,251.51739847821182
10932313,251.6823990182959,248.50374025343973,249.3547205123906,248.50374025343973,251.6823990182959
12963201,251.68765802070934,248.50374025343973,249.3547205123906,248.50374025343973,251.68765802070934
10484937,251.54485413621867,248.51100709611708,249.3070567009683,248.51100709611708,251.54485413621867
9790970,251.54217151853322,248.51363843726918,249.3070567009683,248.51363843726918,251.54217151853322
13623088,251.54217151853322,248.51363843726918,249.3070567009683,248.51363843726918,251.54217151853322
13623117,251.54217151853322,248.51363843726918,249.3070567009683,248.51363843726918,251.54217151853322
12963145,251.70971823495782,248.51749325977363,249.3547205123906,248.51749325977363,251.70971823495782
12156586,251.6972225760696,248.51749325977363,249.3547205123906,248.51749325977363,251.6972225760696
13357787,251.70134202485542,248.51749325977363,249.3547205123906,248.51749325977363,251.70134202485542
13623087,251.56477734355312,248.5250742794224,249.3070567009683,248.5250742794224,251.56477734355312
16875457,251.3508749997849,248.5388316432648,249.3070567009683,248.5388316432648,251.3508749997849
17874064,251.4162911228225,248.5388316432648,249.3070567009683,248.5388316432648,251.4162911228225
